date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,topicTags
24/06/2020,https://leetcode.com/problems/unique-binary-search-trees/,96,unique-binary-search-trees,Unique Binary Search Trees,Medium,,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
25/06/2020,https://leetcode.com/problems/find-the-duplicate-number/,287,find-the-duplicate-number,Find the Duplicate Number,Medium,,"Array, Two Pointers, Binary Search, Bit Manipulation"
26/06/2020,https://leetcode.com/problems/sum-root-to-leaf-numbers/,129,sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,,"Tree, Depth-First Search, Binary Tree"
27/06/2020,https://leetcode.com/problems/perfect-squares/,279,perfect-squares,Perfect Squares,Medium,,"Math, Dynamic Programming, Breadth-First Search"
28/06/2020,https://leetcode.com/problems/reconstruct-itinerary/,332,reconstruct-itinerary,Reconstruct Itinerary,Hard,,"Depth-First Search, Graph, Eulerian Circuit"
29/06/2020,https://leetcode.com/problems/unique-paths/,62,unique-paths,Unique Paths,Medium,,"Math, Dynamic Programming, Combinatorics"
30/06/2020,https://leetcode.com/problems/word-search-ii/,212,word-search-ii,Word Search II,Hard,,"Array, String, Backtracking, Trie, Matrix"
01/07/2020,https://leetcode.com/problems/climbing-stairs/,70,climbing-stairs,Climbing Stairs,Easy,,"Math, Dynamic Programming, Memoization"
02/07/2020,https://leetcode.com/problems/arranging-coins/,441,arranging-coins,Arranging Coins,Easy,,"Math, Binary Search"
03/07/2020,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,107,binary-tree-level-order-traversal-ii,Binary Tree Level Order Traversal II,Medium,,"Tree, Breadth-First Search, Binary Tree"
04/07/2020,https://leetcode.com/problems/prison-cells-after-n-days/,957,prison-cells-after-n-days,Prison Cells After N Days,Medium,,"Array, Hash Table, Math, Bit Manipulation"
05/07/2020,https://leetcode.com/problems/ugly-number-ii/,264,ugly-number-ii,Ugly Number II,Medium,,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
06/07/2020,https://leetcode.com/problems/hamming-distance/,461,hamming-distance,Hamming Distance,Easy,,Bit Manipulation
07/07/2020,https://leetcode.com/problems/plus-one/,66,plus-one,Plus One,Easy,,"Array, Math"
08/07/2020,https://leetcode.com/problems/island-perimeter/,463,island-perimeter,Island Perimeter,Easy,,"Array, Depth-First Search, Breadth-First Search, Matrix"
09/07/2020,https://leetcode.com/problems/3sum/,15,3sum,3Sum,Medium,,"Array, Two Pointers, Sorting"
10/07/2020,https://leetcode.com/problems/maximum-width-of-binary-tree/,662,maximum-width-of-binary-tree,Maximum Width of Binary Tree,Medium,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
11/07/2020,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,430,flatten-a-multilevel-doubly-linked-list,Flatten a Multilevel Doubly Linked List,Medium,,"Linked List, Depth-First Search, Doubly-Linked List"
12/07/2020,https://leetcode.com/problems/subsets/,78,subsets,Subsets,Medium,,"Array, Backtracking, Bit Manipulation"
13/07/2020,https://leetcode.com/problems/reverse-bits/,190,reverse-bits,Reverse Bits,Easy,,"Divide and Conquer, Bit Manipulation"
14/07/2020,https://leetcode.com/problems/same-tree/,100,same-tree,Same Tree,Easy,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
15/07/2020,https://leetcode.com/problems/angle-between-hands-of-a-clock/,1344,angle-between-hands-of-a-clock,Angle Between Hands of a Clock,Medium,,Math
16/07/2020,https://leetcode.com/problems/reverse-words-in-a-string/,151,reverse-words-in-a-string,Reverse Words in a String,Medium,,"Two Pointers, String"
17/07/2020,https://leetcode.com/problems/powx-n/,50,powx-n,"Pow(x, n)",Medium,,"Math, Recursion"
18/07/2020,https://leetcode.com/problems/top-k-frequent-elements/,347,top-k-frequent-elements,Top K Frequent Elements,Medium,,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
19/07/2020,https://leetcode.com/problems/course-schedule-ii/,210,course-schedule-ii,Course Schedule II,Medium,,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
20/07/2020,https://leetcode.com/problems/add-binary/,67,add-binary,Add Binary,Easy,,"Math, String, Bit Manipulation, Simulation"
21/07/2020,https://leetcode.com/problems/remove-linked-list-elements/,203,remove-linked-list-elements,Remove Linked List Elements,Easy,,"Linked List, Recursion"
22/07/2020,https://leetcode.com/problems/word-search/,79,word-search,Word Search,Medium,,"Array, String, Backtracking, Depth-First Search, Matrix"
23/07/2020,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,103,binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,,"Tree, Breadth-First Search, Binary Tree"
24/07/2020,https://leetcode.com/problems/single-number-iii/,260,single-number-iii,Single Number III,Medium,,"Array, Bit Manipulation"
25/07/2020,https://leetcode.com/problems/all-paths-from-source-to-target/,797,all-paths-from-source-to-target,All Paths From Source to Target,Medium,,"Backtracking, Depth-First Search, Breadth-First Search, Graph"
26/07/2020,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,154,find-minimum-in-rotated-sorted-array-ii,Find Minimum in Rotated Sorted Array II,Hard,,"Array, Binary Search"
27/07/2020,https://leetcode.com/problems/add-digits/,258,add-digits,Add Digits,Easy,,"Math, Simulation, Number Theory"
28/07/2020,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,106,construct-binary-tree-from-inorder-and-postorder-traversal,Construct Binary Tree from Inorder and Postorder Traversal,Medium,,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
29/07/2020,https://leetcode.com/problems/task-scheduler/,621,task-scheduler,Task Scheduler,Medium,,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
30/07/2020,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,309,best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,Medium,,"Array, Dynamic Programming"
31/07/2020,https://leetcode.com/problems/word-break-ii/,140,word-break-ii,Word Break II,Hard,,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
01/08/2020,https://leetcode.com/problems/detect-capital/,520,detect-capital,Detect Capital,Easy,,String
02/08/2020,https://leetcode.com/problems/design-hashset/,705,design-hashset,Design HashSet,Easy,,"Array, Hash Table, Linked List, Design, Hash Function"
03/08/2020,https://leetcode.com/problems/valid-palindrome/,125,valid-palindrome,Valid Palindrome,Easy,,"Two Pointers, String"
04/08/2020,https://leetcode.com/problems/power-of-four/,342,power-of-four,Power of Four,Easy,,"Math, Bit Manipulation, Recursion"
05/08/2020,https://leetcode.com/problems/design-add-and-search-words-data-structure/,211,design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,,"String, Depth-First Search, Design, Trie"
06/08/2020,https://leetcode.com/problems/find-all-duplicates-in-an-array/,442,find-all-duplicates-in-an-array,Find All Duplicates in an Array,Medium,,"Array, Hash Table"
07/08/2020,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,987,vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
08/08/2020,https://leetcode.com/problems/path-sum-iii/,437,path-sum-iii,Path Sum III,Medium,,"Tree, Depth-First Search, Binary Tree"
09/08/2020,https://leetcode.com/problems/rotting-oranges/,994,rotting-oranges,Rotting Oranges,Medium,,"Array, Breadth-First Search, Matrix"
10/08/2020,https://leetcode.com/problems/excel-sheet-column-number/,171,excel-sheet-column-number,Excel Sheet Column Number,Easy,,"Math, String"
11/08/2020,https://leetcode.com/problems/h-index/,274,h-index,H-Index,Medium,,"Array, Sorting, Counting Sort"
12/08/2020,https://leetcode.com/problems/pascals-triangle-ii/,119,pascals-triangle-ii,Pascal's Triangle II,Easy,,"Array, Dynamic Programming"
13/08/2020,https://leetcode.com/problems/iterator-for-combination/,1286,iterator-for-combination,Iterator for Combination,Medium,,"String, Backtracking, Design, Iterator"
14/08/2020,https://leetcode.com/problems/longest-palindrome/,409,longest-palindrome,Longest Palindrome,Easy,,"Hash Table, String, Greedy"
15/08/2020,https://leetcode.com/problems/non-overlapping-intervals/,435,non-overlapping-intervals,Non-overlapping Intervals,Medium,,"Array, Dynamic Programming, Greedy, Sorting"
16/08/2020,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,123,best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,,"Array, Dynamic Programming"
17/08/2020,https://leetcode.com/problems/distribute-candies-to-people/,1103,distribute-candies-to-people,Distribute Candies to People,Easy,,"Math, Simulation"
18/08/2020,https://leetcode.com/problems/numbers-with-same-consecutive-differences/,967,numbers-with-same-consecutive-differences,Numbers With Same Consecutive Differences,Medium,,"Backtracking, Breadth-First Search"
19/08/2020,https://leetcode.com/problems/goat-latin/,824,goat-latin,Goat Latin,Easy,,String
20/08/2020,https://leetcode.com/problems/reorder-list/,143,reorder-list,Reorder List,Medium,,"Linked List, Two Pointers, Stack, Recursion"
21/08/2020,https://leetcode.com/problems/sort-array-by-parity/,905,sort-array-by-parity,Sort Array By Parity,Easy,,"Array, Two Pointers, Sorting"
22/08/2020,https://leetcode.com/problems/random-point-in-non-overlapping-rectangles/,497,random-point-in-non-overlapping-rectangles,Random Point in Non-overlapping Rectangles,Medium,,"Array, Math, Binary Search, Reservoir Sampling, Prefix Sum, Ordered Set, Randomized"
23/08/2020,https://leetcode.com/problems/stream-of-characters/,1032,stream-of-characters,Stream of Characters,Hard,,"Array, String, Design, Trie, Data Stream"
24/08/2020,https://leetcode.com/problems/sum-of-left-leaves/,404,sum-of-left-leaves,Sum of Left Leaves,Easy,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
25/08/2020,https://leetcode.com/problems/minimum-cost-for-tickets/,983,minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,,"Array, Dynamic Programming"
26/08/2020,https://leetcode.com/problems/fizz-buzz/,412,fizz-buzz,Fizz Buzz,Easy,,"Math, String, Simulation"
27/08/2020,https://leetcode.com/problems/find-right-interval/,436,find-right-interval,Find Right Interval,Medium,,"Array, Binary Search, Sorting"
28/08/2020,https://leetcode.com/problems/implement-rand10-using-rand7/,470,implement-rand10-using-rand7,Implement Rand10() Using Rand7(),Medium,,"Math, Rejection Sampling, Randomized, Probability and Statistics"
29/08/2020,https://leetcode.com/problems/pancake-sorting/,969,pancake-sorting,Pancake Sorting,Medium,,"Array, Two Pointers, Greedy, Sorting"
30/08/2020,https://leetcode.com/problems/largest-component-size-by-common-factor/,952,largest-component-size-by-common-factor,Largest Component Size by Common Factor,Hard,,"Array, Hash Table, Math, Union Find, Number Theory"
31/08/2020,https://leetcode.com/problems/delete-node-in-a-bst/,450,delete-node-in-a-bst,Delete Node in a BST,Medium,,"Tree, Binary Search Tree, Binary Tree"
01/09/2020,https://leetcode.com/problems/largest-time-for-given-digits/,949,largest-time-for-given-digits,Largest Time for Given Digits,Medium,,"Array, String, Backtracking, Enumeration"
02/09/2020,https://leetcode.com/problems/contains-duplicate-iii/,220,contains-duplicate-iii,Contains Duplicate III,Hard,,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
03/09/2020,https://leetcode.com/problems/repeated-substring-pattern/,459,repeated-substring-pattern,Repeated Substring Pattern,Easy,,"String, String Matching"
04/09/2020,https://leetcode.com/problems/partition-labels/,763,partition-labels,Partition Labels,Medium,,"Hash Table, Two Pointers, String, Greedy"
05/09/2020,https://leetcode.com/problems/all-elements-in-two-binary-search-trees/,1305,all-elements-in-two-binary-search-trees,All Elements in Two Binary Search Trees,Medium,,"Tree, Depth-First Search, Binary Search Tree, Sorting, Binary Tree"
06/09/2020,https://leetcode.com/problems/image-overlap/,835,image-overlap,Image Overlap,Medium,,"Array, Matrix"
07/09/2020,https://leetcode.com/problems/word-pattern/,290,word-pattern,Word Pattern,Easy,,"Hash Table, String"
08/09/2020,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,1022,sum-of-root-to-leaf-binary-numbers,Sum of Root To Leaf Binary Numbers,Easy,,"Tree, Depth-First Search, Binary Tree"
09/09/2020,https://leetcode.com/problems/compare-version-numbers/,165,compare-version-numbers,Compare Version Numbers,Medium,,"Two Pointers, String"
10/09/2020,https://leetcode.com/problems/bulls-and-cows/,299,bulls-and-cows,Bulls and Cows,Medium,,"Hash Table, String, Counting"
11/09/2020,https://leetcode.com/problems/maximum-product-subarray/,152,maximum-product-subarray,Maximum Product Subarray,Medium,,"Array, Dynamic Programming"
12/09/2020,https://leetcode.com/problems/combination-sum-iii/,216,combination-sum-iii,Combination Sum III,Medium,,"Array, Backtracking"
13/09/2020,https://leetcode.com/problems/insert-interval/,57,insert-interval,Insert Interval,Medium,,Array
14/09/2020,https://leetcode.com/problems/house-robber/,198,house-robber,House Robber,Medium,,"Array, Dynamic Programming"
15/09/2020,https://leetcode.com/problems/length-of-last-word/,58,length-of-last-word,Length of Last Word,Easy,,String
16/09/2020,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,421,maximum-xor-of-two-numbers-in-an-array,Maximum XOR of Two Numbers in an Array,Medium,,"Array, Hash Table, Bit Manipulation, Trie"
17/09/2020,https://leetcode.com/problems/robot-bounded-in-circle/,1041,robot-bounded-in-circle,Robot Bounded In Circle,Medium,,"Math, String, Simulation"
18/09/2020,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,121,best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,,"Array, Dynamic Programming"
19/09/2020,https://leetcode.com/problems/sequential-digits/,1291,sequential-digits,Sequential Digits,Medium,,Enumeration
20/09/2020,https://leetcode.com/problems/unique-paths-iii/,980,unique-paths-iii,Unique Paths III,Hard,,"Array, Backtracking, Bit Manipulation, Matrix"
21/09/2020,https://leetcode.com/problems/car-pooling/,1094,car-pooling,Car Pooling,Medium,,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
